ts_iso,ts_unix,node,state,cpu_pct,temp_c,arm_mhz,throttled_hex,live_flags,past_flags,mem_avail_mb,load1,reconnects,cluster_status,tps,tps_source,event
2026-09-19T09:47:21.359790+00:00,1789811241.360,pi-node-2,ok,0.00,51.0,1500,0x0,,,3818,0.04,0,,,none,
2026-09-19T09:47:21.359790+00:00,1789811241.360,pi-node-3,ok,0.00,40.6,1500,0x0,,,7800,0.00,0,,,none,
2026-09-19T09:47:21.359790+00:00,1789811241.360,pi-node-4,ok,0.25,42.8,1500,0x0,,,3846,0.05,0,,,none,
2026-09-19T09:47:23.361284+00:00,1789811243.361,pi-node-1,ok,0.00,50.5,1500,0x50000,,uv-past;thr-past,3812,0.00,0,,,none,
2026-09-19T09:47:23.361284+00:00,1789811243.361,pi-node-2,ok,0.12,51.0,1500,0x0,,,3819,0.04,0,,,none,
2026-09-19T09:47:23.361284+00:00,1789811243.361,pi-node-3,ok,0.12,40.6,1500,0x0,,,7800,0.00,0,,,none,
2026-09-19T09:47:23.361284+00:00,1789811243.361,pi-node-4,ok,0.12,43.3,1500,0x0,,,3846,0.05,0,,,none,
2026-09-19T09:47:25.366974+00:00,1789811245.367,pi-node-1,ok,0.25,49.4,1500,0x50000,,uv-past;thr-past,3815,0.00,0,,,none,
2026-09-19T09:47:25.366974+00:00,1789811245.367,pi-node-2,ok,0.25,51.6,1500,0x0,,,3819,0.04,0,,,none,
2026-09-19T09:47:25.366974+00:00,1789811245.367,pi-node-3,ok,0.12,41.1,1500,0x0,,,7802,0.00,0,,,none,
2026-09-19T09:47:25.366974+00:00,1789811245.367,pi-node-4,ok,0.00,41.7,1500,0x0,,,3845,0.05,0,,,none,
2026-09-19T09:49:25.377073+00:00,1789811365.377,pi-node-1,connecting,,,,,,,,,0,,,none,
2026-09-19T09:49:25.377073+00:00,1789811365.377,pi-node-2,connecting,,,,,,,,,0,,,none,
2026-09-19T09:49:25.377073+00:00,1789811365.377,pi-node-3,connecting,,,,,,,,,0,,,none,
2026-09-19T09:49:25.377073+00:00,1789811365.377,pi-node-4,connecting,,,,,,,,,0,,,none,
2026-09-19T09:49:27.382913+00:00,1789811367.383,pi-node-1,connecting,,,,,,,,,1,,,none,
2026-09-19T09:49:27.382913+00:00,1789811367.383,pi-node-2,ok,,51.6,2400,0x0,,,3778,0.04,0,,,none,
2026-09-19T09:49:27.382913+00:00,1789811367.383,pi-node-3,ok,,42.2,2400,0x0,,,7772,0.00,0,,,none,
2026-09-19T09:49:27.382913+00:00,1789811367.383,pi-node-4,ok,,47.2,2400,0x0,,,3818,0.00,0,,,none,
2026-09-19T09:49:29.383909+00:00,1789811369.384,pi-node-1,ok,,52.1,2400,0x50000,,uv-past;thr-past,3787,0.01,1,,,none,
2026-09-19T09:49:29.383909+00:00,1789811369.384,pi-node-2,ok,0.12,51.0,2400,0x0,,,3777,0.04,0,,,none,
2026-09-19T09:49:29.383909+00:00,1789811369.384,pi-node-3,ok,0.12,41.7,2400,0x0,,,7772,0.00,0,,,none,
2026-09-19T09:49:29.383909+00:00,1789811369.384,pi-node-4,ok,0.37,45.5,2400,0x0,,,3817,0.00,0,,,none,
2026-09-19T09:49:31.385446+00:00,1789811371.385,pi-node-1,ok,0.25,52.7,2400,0x50000,,uv-past;thr-past,3787,0.01,1,,,none,
2026-09-19T09:49:31.385446+00:00,1789811371.385,pi-node-2,ok,0.12,51.0,2400,0x0,,,3784,0.04,0,,,none,
2026-09-19T09:49:31.385446+00:00,1789811371.385,pi-node-3,ok,0.12,41.1,2400,0x0,,,7775,0.00,0,,,none,
2026-09-19T09:49:31.385446+00:00,1789811371.385,pi-node-4,ok,0.25,46.6,2400,0x0,,,3823,0.00,0,,,none,
2026-09-19T09:49:33.389939+00:00,1789811373.390,pi-node-1,ok,0.12,53.8,2400,0x50000,,uv-past;thr-past,3792,0.01,1,,,none,
2026-09-19T09:49:33.389939+00:00,1789811373.390,pi-node-2,ok,0.12,51.6,1500,0x0,,,3789,0.04,0,,,none,
2026-09-19T09:49:33.389939+00:00,1789811373.390,pi-node-3,ok,0.00,41.1,1500,0x0,,,7782,0.08,0,,,none,
2026-09-19T09:49:33.389939+00:00,1789811373.390,pi-node-4,ok,0.12,45.0,1500,0x0,,,3829,0.00,0,,,none,
